통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201512,서울특별시,종로구,지체,1급,50
201512,서울특별시,종로구,시각,1급,168
201512,서울특별시,종로구,청각,1급,29
201512,서울특별시,종로구,지적,1급,82
201512,서울특별시,종로구,뇌병변,1급,140
201512,서울특별시,종로구,자폐성,1급,30
201512,서울특별시,종로구,정신,1급,5
201512,서울특별시,종로구,신장,1급,9
201512,서울특별시,종로구,호흡기,1급,3
201512,서울특별시,종로구,간,1급,4
201512,서울특별시,종로구,지체,2급,141
201512,서울특별시,종로구,시각,2급,22
201512,서울특별시,종로구,청각,2급,108
201512,서울특별시,종로구,언어,2급,4
201512,서울특별시,종로구,지적,2급,108
201512,서울특별시,종로구,뇌병변,2급,134
201512,서울특별시,종로구,자폐성,2급,36
201512,서울특별시,종로구,정신,2급,66
201512,서울특별시,종로구,신장,2급,161
201512,서울특별시,종로구,심장,2급,2
201512,서울특별시,종로구,호흡기,2급,4
201512,서울특별시,종로구,간,2급,2
201512,서울특별시,종로구,뇌전증,2급,2
201512,서울특별시,종로구,지체,3급,311
201512,서울특별시,종로구,시각,3급,33
201512,서울특별시,종로구,청각,3급,89
201512,서울특별시,종로구,언어,3급,20
201512,서울특별시,종로구,지적,3급,164
201512,서울특별시,종로구,뇌병변,3급,144
201512,서울특별시,종로구,자폐성,3급,22
201512,서울특별시,종로구,정신,3급,189
201512,서울특별시,종로구,심장,3급,14
201512,서울특별시,종로구,호흡기,3급,18
201512,서울특별시,종로구,안면,3급,2
201512,서울특별시,종로구,장루.요루,3급,4
201512,서울특별시,종로구,뇌전증,3급,3
201512,서울특별시,종로구,지체,4급,697
201512,서울특별시,종로구,시각,4급,38
201512,서울특별시,종로구,청각,4급,145
201512,서울특별시,종로구,언어,4급,25
201512,서울특별시,종로구,뇌병변,4급,93
201512,서울특별시,종로구,신장,4급,1
201512,서울특별시,종로구,안면,4급,3
201512,서울특별시,종로구,장루.요루,4급,17
201512,서울특별시,종로구,뇌전증,4급,10
201512,서울특별시,종로구,지체,5급,958
201512,서울특별시,종로구,시각,5급,59
201512,서울특별시,종로구,청각,5급,144
201512,서울특별시,종로구,뇌병변,5급,75
201512,서울특별시,종로구,신장,5급,49
201512,서울특별시,종로구,심장,5급,5
201512,서울특별시,종로구,간,5급,33
201512,서울특별시,종로구,장루.요루,5급,17
201512,서울특별시,종로구,뇌전증,5급,2
201512,서울특별시,종로구,지체,6급,860
201512,서울특별시,종로구,시각,6급,451
201512,서울특별시,종로구,청각,6급,107
201512,서울특별시,종로구,뇌병변,6급,74
201512,서울특별시,중구,지체,1급,64
201512,서울특별시,중구,시각,1급,143
201512,서울특별시,중구,청각,1급,8
201512,서울특별시,중구,지적,1급,76
201512,서울특별시,중구,뇌병변,1급,142
201512,서울특별시,중구,자폐성,1급,27
201512,서울특별시,중구,정신,1급,6
201512,서울특별시,중구,신장,1급,14
201512,서울특별시,중구,심장,1급,1
201512,서울특별시,중구,호흡기,1급,5
201512,서울특별시,중구,간,1급,3
201512,서울특별시,중구,안면,1급,2
201512,서울특별시,중구,지체,2급,141
201512,서울특별시,중구,시각,2급,15
201512,서울특별시,중구,청각,2급,114
201512,서울특별시,중구,언어,2급,1
201512,서울특별시,중구,지적,2급,93
201512,서울특별시,중구,뇌병변,2급,136
201512,서울특별시,중구,자폐성,2급,9
201512,서울특별시,중구,정신,2급,57
201512,서울특별시,중구,신장,2급,146
201512,서울특별시,중구,심장,2급,2
201512,서울특별시,중구,호흡기,2급,10
201512,서울특별시,중구,간,2급,1
201512,서울특별시,중구,지체,3급,322
201512,서울특별시,중구,시각,3급,30
201512,서울특별시,중구,청각,3급,75
201512,서울특별시,중구,언어,3급,17
201512,서울특별시,중구,지적,3급,151
201512,서울특별시,중구,뇌병변,3급,113
201512,서울특별시,중구,자폐성,3급,12
201512,서울특별시,중구,정신,3급,172
201512,서울특별시,중구,심장,3급,15
201512,서울특별시,중구,호흡기,3급,17
201512,서울특별시,중구,간,3급,2
201512,서울특별시,중구,안면,3급,3
201512,서울특별시,중구,장루.요루,3급,3
201512,서울특별시,중구,뇌전증,3급,6
201512,서울특별시,중구,지체,4급,651
201512,서울특별시,중구,시각,4급,33
201512,서울특별시,중구,청각,4급,134
201512,서울특별시,중구,언어,4급,12
201512,서울특별시,중구,뇌병변,4급,77
201512,서울특별시,중구,신장,4급,2
201512,서울특별시,중구,안면,4급,1
201512,서울특별시,중구,장루.요루,4급,27
201512,서울특별시,중구,뇌전증,4급,13
201512,서울특별시,중구,지체,5급,868
201512,서울특별시,중구,시각,5급,52
201512,서울특별시,중구,청각,5급,136
201512,서울특별시,중구,뇌병변,5급,79
201512,서울특별시,중구,신장,5급,33
201512,서울특별시,중구,심장,5급,1
201512,서울특별시,중구,호흡기,5급,1
201512,서울특별시,중구,간,5급,22
201512,서울특별시,중구,장루.요루,5급,16
201512,서울특별시,중구,뇌전증,5급,6
201512,서울특별시,중구,지체,6급,845
201512,서울특별시,중구,시각,6급,441
201512,서울특별시,중구,청각,6급,88
201512,서울특별시,중구,뇌병변,6급,82
201512,서울특별시,용산구,지체,1급,98
201512,서울특별시,용산구,시각,1급,145
201512,서울특별시,용산구,청각,1급,25
201512,서울특별시,용산구,언어,1급,2
201512,서울특별시,용산구,지적,1급,111
201512,서울특별시,용산구,뇌병변,1급,217
201512,서울특별시,용산구,자폐성,1급,34
201512,서울특별시,용산구,정신,1급,3
201512,서울특별시,용산구,신장,1급,10
201512,서울특별시,용산구,심장,1급,1
201512,서울특별시,용산구,호흡기,1급,11
201512,서울특별시,용산구,뇌전증,1급,1
201512,서울특별시,용산구,지체,2급,194
201512,서울특별시,용산구,시각,2급,18
201512,서울특별시,용산구,청각,2급,143
201512,서울특별시,용산구,언어,2급,6
201512,서울특별시,용산구,지적,2급,152
201512,서울특별시,용산구,뇌병변,2급,174
201512,서울특별시,용산구,자폐성,2급,32
201512,서울특별시,용산구,정신,2급,62
201512,서울특별시,용산구,신장,2급,232
201512,서울특별시,용산구,심장,2급,1
201512,서울특별시,용산구,호흡기,2급,13
201512,서울특별시,용산구,간,2급,2
201512,서울특별시,용산구,안면,2급,2
201512,서울특별시,용산구,뇌전증,2급,2
201512,서울특별시,용산구,지체,3급,461
201512,서울특별시,용산구,시각,3급,35
201512,서울특별시,용산구,청각,3급,127
201512,서울특별시,용산구,언어,3급,30
201512,서울특별시,용산구,지적,3급,237
201512,서울특별시,용산구,뇌병변,3급,178
201512,서울특별시,용산구,자폐성,3급,13
