통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202212,서울특별시,종로구,지체,심한 장애,437
202212,서울특별시,종로구,시각,심한 장애,183
202212,서울특별시,종로구,청각,심한 장애,193
202212,서울특별시,종로구,언어,심한 장애,22
202212,서울특별시,종로구,지적,심한 장애,399
202212,서울특별시,종로구,뇌병변,심한 장애,312
202212,서울특별시,종로구,자폐성,심한 장애,108
202212,서울특별시,종로구,정신,심한 장애,251
202212,서울특별시,종로구,신장,심한 장애,192
202212,서울특별시,종로구,심장,심한 장애,9
202212,서울특별시,종로구,호흡기,심한 장애,23
202212,서울특별시,종로구,간,심한 장애,2
202212,서울특별시,종로구,안면,심한 장애,2
202212,서울특별시,종로구,장루.요루,심한 장애,5
202212,서울특별시,종로구,뇌전증,심한 장애,4
202212,서울특별시,종로구,지체,심하지 않은 장애,1987
202212,서울특별시,종로구,시각,심하지 않은 장애,491
202212,서울특별시,종로구,청각,심하지 않은 장애,778
202212,서울특별시,종로구,언어,심하지 않은 장애,22
202212,서울특별시,종로구,뇌병변,심하지 않은 장애,241
202212,서울특별시,종로구,정신,심하지 않은 장애,3
202212,서울특별시,종로구,신장,심하지 않은 장애,62
202212,서울특별시,종로구,심장,심하지 않은 장애,5
202212,서울특별시,종로구,호흡기,심하지 않은 장애,2
202212,서울특별시,종로구,간,심하지 않은 장애,42
202212,서울특별시,종로구,안면,심하지 않은 장애,3
202212,서울특별시,종로구,장루.요루,심하지 않은 장애,28
202212,서울특별시,종로구,뇌전증,심하지 않은 장애,10
202212,서울특별시,중구,지체,심한 장애,443
202212,서울특별시,중구,시각,심한 장애,184
202212,서울특별시,중구,청각,심한 장애,187
202212,서울특별시,중구,언어,심한 장애,16
202212,서울특별시,중구,지적,심한 장애,306
202212,서울특별시,중구,뇌병변,심한 장애,268
202212,서울특별시,중구,자폐성,심한 장애,76
202212,서울특별시,중구,정신,심한 장애,207
202212,서울특별시,중구,신장,심한 장애,171
202212,서울특별시,중구,심장,심한 장애,11
202212,서울특별시,중구,호흡기,심한 장애,33
202212,서울특별시,중구,간,심한 장애,2
202212,서울특별시,중구,안면,심한 장애,6
202212,서울특별시,중구,장루.요루,심한 장애,3
202212,서울특별시,중구,뇌전증,심한 장애,5
202212,서울특별시,중구,지체,심하지 않은 장애,1954
202212,서울특별시,중구,시각,심하지 않은 장애,503
202212,서울특별시,중구,청각,심하지 않은 장애,723
202212,서울특별시,중구,언어,심하지 않은 장애,13
202212,서울특별시,중구,뇌병변,심하지 않은 장애,259
202212,서울특별시,중구,신장,심하지 않은 장애,58
202212,서울특별시,중구,심장,심하지 않은 장애,1
202212,서울특별시,중구,호흡기,심하지 않은 장애,1
202212,서울특별시,중구,간,심하지 않은 장애,36
202212,서울특별시,중구,안면,심하지 않은 장애,2
202212,서울특별시,중구,장루.요루,심하지 않은 장애,36
202212,서울특별시,중구,뇌전증,심하지 않은 장애,16
202212,서울특별시,용산구,지체,심한 장애,548
202212,서울특별시,용산구,시각,심한 장애,193
202212,서울특별시,용산구,청각,심한 장애,250
202212,서울특별시,용산구,언어,심한 장애,42
202212,서울특별시,용산구,지적,심한 장애,526
202212,서울특별시,용산구,뇌병변,심한 장애,391
202212,서울특별시,용산구,자폐성,심한 장애,142
202212,서울특별시,용산구,정신,심한 장애,273
202212,서울특별시,용산구,신장,심한 장애,276
202212,서울특별시,용산구,심장,심한 장애,14
202212,서울특별시,용산구,호흡기,심한 장애,45
202212,서울특별시,용산구,간,심한 장애,2
202212,서울특별시,용산구,안면,심한 장애,1
202212,서울특별시,용산구,장루.요루,심한 장애,6
202212,서울특별시,용산구,뇌전증,심한 장애,7
202212,서울특별시,용산구,지체,심하지 않은 장애,2596
202212,서울특별시,용산구,시각,심하지 않은 장애,731
202212,서울특별시,용산구,청각,심하지 않은 장애,947
202212,서울특별시,용산구,언어,심하지 않은 장애,21
202212,서울특별시,용산구,뇌병변,심하지 않은 장애,341
202212,서울특별시,용산구,정신,심하지 않은 장애,4
202212,서울특별시,용산구,신장,심하지 않은 장애,98
202212,서울특별시,용산구,심장,심하지 않은 장애,5
202212,서울특별시,용산구,호흡기,심하지 않은 장애,1
